"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"347","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","a","File type","File type","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","b","Encoding format","Encoding format","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","c","File size","File size","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","d","Resolution","Resolution","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","e","Regional encoding","Regional encoding","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","f","Encoded bitrate","Encoded bitrate","1","0","0","","3","","","","","-6","HLD","","","","9999"
"506","2","Source of term","Source of term","0","0","0","","5","","","","","-6","HLD","","","","9999"
"506","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","HLD","","","","9999"
"506","5","Institution to which field applies","Institution to which field applies","0","0","0","","5","","","","","-6","HLD","","","","9999"
"506","6","Linkage","Linkage","0","0","0","","5","","","","","-6","HLD","","","","9999"
"506","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","HLD","","","","9999"
"506","a","Terms governing access","Terms governing access","0","0","0","","5","","","","","-6","HLD","","","","9999"
"506","b","Jurisdiction","Jurisdiction","1","0","0","","5","","","","","-6","HLD","","","","9999"
"506","c","Physical access provisions","Physical access provisions","1","0","0","","5","","","","","-6","HLD","","","","9999"
"506","d","Authorized users","Authorized users","1","0","0","","5","","","","","-6","HLD","","","","9999"
"506","e","Authorization","Authorization","1","0","0","","5","","","","","-6","HLD","","","","9999"
"506","f","Standardized terminology for access restriction","Standardized terminology for access restriction","1","0","0","","5","","","","","-6","HLD","","","","9999"
"506","g","Availability date","Availability date","1","0","0","","5","","","","","-6","HLD","","","","9999"
"506","q","Supplying agency","Supplying agency","0","0","0","","5","","","","","-6","HLD","","","","9999"
"506","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","5","","","","1","-6","HLD","","","","9999"
"538","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","HLD","","","","9999"
"538","5","Institution to which field applies","Institution to which field applies","1","0","0","","5","","","","","-6","HLD","","","","9999"
"538","6","Linkage","Linkage","0","0","0","","5","","","","","-6","HLD","","","","9999"
"538","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","HLD","","","","9999"
"538","a","System details note","System details note","0","0","0","","5","","","","","-1","HLD","","","","9999"
"538","i","Display text","Display text","0","0","0","","5","","","","","-1","HLD","","","","9999"
"538","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","5","","","","1","-1","HLD","","","","9999"
"541","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","HLD","","","","9999"
"541","5","Institution to which field applies","Institution to which field applies","0","0","0","","5","","","","","-6","HLD","","","","9999"
"541","6","Linkage","Linkage","0","0","0","","5","","","","","-6","HLD","","","","9999"
"541","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","HLD","","","","9999"
"541","a","Source of acquisition","Source of acquisition","0","0","0","","5","","","","","1","HLD","","","","9999"
"541","b","Address","Address","0","0","0","","5","","","","","1","HLD","","","","9999"
"541","c","Method of acquisition","Method of acquisition","0","0","0","","5","","","","","1","HLD","","","","9999"
